año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,votos_tipo,votos_cantidad,agrupacion_id,agrupacion_nombre
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,130,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,COMANDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,131,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,POSITIVO,117,30502,UNION POR LA PATRIA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,131,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,POSITIVO,96,30501,LA LIBERTAD AVANZA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,131,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,POSITIVO,21,30503,JUNTOS POR EL CAMBIO
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,131,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,EN BLANCO,4,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,131,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,NULO,9,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,131,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,IMPUGNADO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,131,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,COMANDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,132,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,POSITIVO,82,30502,UNION POR LA PATRIA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,132,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,POSITIVO,76,30501,LA LIBERTAD AVANZA
